PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
0,1.88,0.79,2.2,0.79,1.63,2.66,2.02,0.93,2.06,CsVI3
1,1.88,1.02,2.2,0.79,1.1,2.66,2.02,1.16,2.06,CsYbI3
0,1.88,0.64,1.4,0.79,1.6,3.44,2.02,0.78,1.26,CsNbO3
0,1.88,0.54,1.4,0.79,1.63,3.44,2.02,0.68,1.26,CsVO3
1,1.64,0.73,1.33,0.82,1.9,3.98,1.78,0.87,1.19,KCuF3
1,1.72,0.73,1.33,0.82,1.9,3.98,1.86,0.87,1.19,RbCuF3
1,1.7,0.73,1.33,1.62,1.9,3.98,1.84,0.87,1.19,TlCuF3
0,0.73,0.53,1.4,1.9,2.01,3.44,0.87,0.67,1.26,CuGeO3
1,1.36,0.54,1.4,1.1,1.9,3.44,1.5,0.68,1.26,LaCuO3
0,0.77,0.64,1.4,1.9,1.6,3.44,0.91,0.78,1.26,CuNbO3
0,0.77,0.54,1.4,1.9,1.63,3.44,0.91,0.68,1.26,CuVO3
1,1.08,0.64,1.4,1.23,1.83,3.44,1.22,0.78,1.26,DyFeO3
1,1.72,1.07,2.2,0.82,1.23,2.66,1.86,1.21,2.06,RbDyI3
1,1.08,0.64,1.4,1.23,1.55,3.44,1.22,0.78,1.26,DyMnO3
1,1.08,0.6,1.4,1.23,1.91,3.44,1.22,0.74,1.26,DyNiO3
1,1.08,0.66,1.4,1.23,2.28,3.44,1.22,0.8,1.26,DyRhO3
1,1.08,0.67,1.4,1.23,1.54,3.44,1.22,0.81,1.26,DyTiO3
1,1.08,0.64,1.4,1.23,1.63,3.44,1.22,0.78,1.26,DyVO3
1,1.06,0.64,1.4,1.24,1.83,3.44,1.2,0.78,1.26,ErFeO3
1,1.06,0.64,1.4,1.24,1.55,3.44,1.2,0.78,1.26,ErMnO3
1,1.06,0.6,1.4,1.24,1.91,3.44,1.2,0.74,1.26,ErNiO3
1,1.06,0.67,1.4,1.24,1.54,3.44,1.2,0.81,1.26,ErTiO3
1,1.06,0.64,1.4,1.24,1.63,3.44,1.2,0.78,1.26,ErVO3
1,1.12,0.64,1.4,1.2,1.83,3.44,1.26,0.78,1.26,EuFeO3
1,1.12,0.62,1.4,1.2,1.81,3.44,1.26,0.76,1.26,EuGaO3
